,eo_code,be_code,head_type,be_description,eo_class_code,eo_class_description,eo_category_spec,eo_model_name,operation_start_date,evaluated_operation_finish_date,sap_system_status,sap_user_status,year,qty_by_end_of_year,qty_in
199,100000056967,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-02-18,2032-02-18 00:00:00,ПВЕО,КМПН,2022.0,1.0,
200,100000056973,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-02-18,2032-02-18 00:00:00,ПВЕО,КМПН,2022.0,1.0,
201,100000056974,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-02-18,2032-02-18 00:00:00,ПВЕО,КМПН,2022.0,1.0,
202,100000056975,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-02-18,2032-02-18 00:00:00,ПВЕО,КМПН,2022.0,1.0,
203,100000056968,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-02-18,2032-02-18 00:00:00,ПВЕО,,2022.0,1.0,
204,100000056969,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-02-18,2032-02-18 00:00:00,ПВЕО,,2022.0,1.0,
205,100000056970,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-02-18,2032-02-18 00:00:00,ПВЕО,,2022.0,1.0,
206,100000056971,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-02-18,2032-02-18 00:00:00,ПВЕО,,2022.0,1.0,
207,100000056972,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-02-18,2032-02-18 00:00:00,ПВЕО,,2022.0,1.0,
208,100000098888,1100.0,component,"АО ""Полюс Красноярск""",,,,,2018-09-23,2030-09-23 00:00:00,ПВЕО,,2022.0,1.0,
209,100000102297,,,,,,,,,,,,,,
210,100000061898,1100.0,head,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,,Станки буровые DE810,2017-02-20,2027-02-28 00:00:00,УСТН,СИНХ,2022.0,1.0,
211,100000045482,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-02-19,2029-02-19 00:00:00,ПВЕО,КМПН,2022.0,1.0,
212,100000039586,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-02-20,2029-02-20 00:00:00,ПВЕО,,2022.0,1.0,
213,100000039607,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-02-20,2029-02-20 00:00:00,ПВЕО,,2022.0,1.0,
214,100000045483,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-02-19,2029-02-19 00:00:00,ПВЕО,КМПН,2022.0,1.0,
215,100000061900,,,,,,,,,,,,,,
216,100000061899,1100.0,head,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,,Станок буровой DML HP 1450,2017-08-31,2024-07-01 00:00:00,УСТН,СИНХ,2022.0,1.0,
217,100000039580,1100.0,component,"АО ""Полюс Красноярск""",,,,,2019-03-01,2031-03-01 00:00:00,ПВЕО,КМПН,2022.0,1.0,
218,100000039601,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-08-31,2029-08-31 00:00:00,ПВЕО,,2022.0,1.0,
219,100000039623,1100.0,component,"АО ""Полюс Красноярск""",,,,,2014-05-08,2026-05-08 00:00:00,ПВЕО,,2022.0,1.0,
220,100000098884,1100.0,component,"АО ""Полюс Красноярск""",,,,,2018-09-23,2030-09-23 00:00:00,ПВЕО,,2022.0,1.0,
221,100000061914,1100.0,head,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,,Станок буровой DML HP 1450,2017-05-07,2029-05-07 00:00:00,УСТН,СИНХ,2022.0,1.0,
222,100000039624,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-08-01,2029-08-01 00:00:00,ПВЕО,,2022.0,1.0,
223,100000039581,1100.0,component,"АО ""Полюс Красноярск""",,,,,2019-01-01,2031-01-01 00:00:00,ПВЕО,КМПН,2022.0,1.0,
224,100000061910,,,,,,,,,,,,,,
225,100000039596,,,,,,,,,,,,,,
226,100000066017,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-12-31,2029-12-31 00:00:00,ПВЕО,,2022.0,1.0,
227,100000061887,,,,,,,,,,,,,,
228,100000055885,,,,,,,,,,,,,,
229,100000056979,,,,,,,,,,,,,,
230,100000059275,1100.0,component,"АО ""Полюс Красноярск""",,,,,2014-12-31,2026-12-31 00:00:00,ПВЕО,,2022.0,1.0,
231,100000061897,1100.0,head,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,,Станки буровые DML LP,2013-10-09,2024-01-31 00:00:00,УСТН,СИНХ,2022.0,1.0,
232,100000059239,1100.0,component,"АО ""Полюс Красноярск""",,,,,2016-08-15,2028-08-15 00:00:00,ПВЕО,,2022.0,1.0,
233,100000039597,1100.0,component,"АО ""Полюс Красноярск""",,,,,2013-10-09,2025-10-09 00:00:00,ПВЕО,,2022.0,1.0,
234,100000039619,1100.0,component,"АО ""Полюс Красноярск""",,,,,2013-10-09,2025-10-09 00:00:00,ПВЕО,,2022.0,1.0,
235,100000061885,1100.0,head,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,,Станки буровые DML LP,2014-05-08,2024-01-31 00:00:00,УСТН,СИНХ,2022.0,1.0,
236,100000054808,1100.0,head,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,,Станки буровые DML LP,2020-08-26,2030-08-01 00:00:00,УСТН,СИНХ,2022.0,1.0,
237,100000056076,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-08-26,2032-08-26 00:00:00,ПВЕО,,2022.0,1.0,
238,100000056980,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-08-26,2032-08-26 00:00:00,ПВЕО,,2022.0,1.0,
239,100000056075,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-08-01,2032-08-01 00:00:00,ПВЕО,,2022.0,1.0,
240,100000098869,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-07-14,2029-07-14 00:00:00,ПВЕО,,2022.0,1.0,
241,100000059235,1100.0,component,"АО ""Полюс Красноярск""",,,,,2017-12-31,2029-12-31 00:00:00,ПВЕО,,2022.0,1.0,
242,100000054809,1100.0,head,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,,Станки буровые DML LP,2020-09-01,2030-09-01 00:00:00,УСТН,СИНХ,2022.0,1.0,
243,100000056078,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-09-01,2032-09-01 00:00:00,ПВЕО,,2022.0,1.0,
244,100000056981,1100.0,component,"АО ""Полюс Красноярск""",,,,,2020-09-01,2032-09-01 00:00:00,ПВЕО,,2022.0,1.0,
