be_code,be_description,eo_class_code,eo_class_description,eo_model_name,teh_mesto,gar_no,eo_code,head_type,operation_start_date,expected_operation_period_years,expected_operation_finish_date,sap_planned_finish_operation_date,expected_operation_status_code,expected_operation_status_code_date,sap_system_status,sap_user_status,reported_operation_finish_date,reported_operation_status,qty at 31.12.2022,in 2022,out 2022,qty at 31.12.2023,in 2023,out 2023
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E103,32,100000043619,component,2017-02-28,12.0,2029-02-28 00:00:00,,operation,2022-06-17 11:42:40.581836,ПВЕО,КМПН,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E103,32,100000043643,component,2017-02-28,12.0,2029-02-28 00:00:00,,operation,2022-06-17 11:42:40.586736,ПВЕО,КМПН,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E103,32,100000043665,component,2017-02-28,12.0,2029-02-28 00:00:00,,operation,2022-06-17 11:42:40.591408,ПВЕО,КМПН,,,1,0,0,1,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E103,32,100000043424,component,2009-11-30,12.0,2021-11-30 00:00:00,,operation_finished,2022-06-17 11:42:47.648404,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E103,32,100000043448,component,2009-11-30,12.0,2021-11-30 00:00:00,,operation_finished,2022-06-17 11:42:47.652290,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E103,32,100000043472,component,2009-11-30,12.0,2021-11-30 00:00:00,,operation_finished,2022-06-17 11:42:47.656108,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E103,32,100000043494,component,2009-11-30,12.0,2021-11-30 00:00:00,,operation_finished,2022-06-17 11:42:47.659771,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E103,32,100000043516,component,2009-11-30,12.0,2021-11-30 00:00:00,,operation_finished,2022-06-17 11:42:47.663779,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E103,32,100000043543,component,2009-11-30,12.0,2021-11-30 00:00:00,,operation_finished,2022-06-17 11:42:47.667521,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E103,32,100000043572,component,2009-11-30,12.0,2021-11-30 00:00:00,,operation_finished,2022-06-17 11:42:47.671431,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Экскаваторы ЭКГ-10,11-RUD-BLAG-UGBL-E105,02,100000062743,head,1996-09-01,12.0,2008-09-01 00:00:00,2023-01-01,operation,2022-06-17 11:42:37.229709,УСТН,СИНХ,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E105,2,100000043583,component,1996-09-01,12.0,2008-09-01 00:00:00,,operation_finished,2022-06-17 11:42:37.203830,ПВЕО,КМПН,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E105,2,100000043275,component,1996-09-01,12.0,2008-09-01 00:00:00,2021-12-31,operation_finished,2022-06-17 11:42:37.182531,ПВЕО,,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E105,2,100000043303,component,1996-09-01,12.0,2008-09-01 00:00:00,2021-12-31,operation_finished,2022-06-17 11:42:37.186847,ПВЕО,,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E105,2,100000043331,component,1996-09-01,12.0,2008-09-01 00:00:00,2021-12-31,operation_finished,2022-06-17 11:42:37.191067,ПВЕО,,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E105,2,100000043360,component,1996-09-01,12.0,2008-09-01 00:00:00,2021-12-31,operation_finished,2022-06-17 11:42:37.195377,ПВЕО,,,,0,0,0,0,0,0
1100.0,"АО ""Полюс Красноярск""",,,,11-RUD-BLAG-UGBL-E105,2,100000043387,component,1996-09-01,12.0,2008-09-01 00:00:00,2021-12-31,operation_finished,2022-06-17 11:42:37.199681,ПВЕО,,,,0,0,0,0,0,0
